0.00390625,(-0.4278997742943514,1.865425302504169)
0.003914074234394555,(-0.4276600060792056,1.865409562529728)
0.003921922000313251,(-0.4274199912190008,1.865393815092621)
0.003929793392212747,(-0.4271797292006482,1.865378060202954)
0.003937688505024113,(-0.4269392195094426,1.865362297870963)
0.003945607434155702,(-0.4266984616290529,1.865346528107016)
0.003953550275496034,(-0.426457455041521,1.865330750921613)
0.003961517125416688,(-0.4262161992272511,1.865314966325391)
0.003969508080775234,(-0.4259746936650013,1.865299174329121)
0.003977523238918174,(-0.4257329378318819,1.865283374943714)
0.00398556269768391,(-0.4254909312033442,1.865267568180216)
0.003993626555405722,(-0.4252486732531732,1.865251754049813)
0.004001714910914783,(-0.4250061634534822,1.86523593256383)
0.004009827863543185,(-0.4247634012747069,1.865220103733737)
0.004017965513126983,(-0.4245203861855945,1.865204267571144)
0.004026127960009276,(-0.4242771176532,1.865188424087801)
0.004034315305043295,(-0.4240335951428747,1.865172573295607)
0.004042527649595515,(-0.4237898181182673,1.865156715206608)
0.004050765095548798,(-0.4235457860413055,1.865140849832993)
0.004059027745305555,(-0.4233014983721953,1.865124977187103)
0.004067315701790921,(-0.4230569545694144,1.865109097281423)
0.00407562906845596,(-0.422812154089702,1.865093210128596)
0.004083967949280908,(-0.4225670963880488,1.865077315741408)
0.004092332448778402,(-0.422321780917697,1.865061414132804)
0.004100722671996774,(-0.4220762071301264,1.865045505315883)
0.004109138724523339,(-0.4218303744750476,1.865029589303894)
0.004117580712487719,(-0.4215842824003995,1.86501366611025)
0.00412604874256519,(-0.4213379303523312,1.864997735748515)
0.00413454292198005,(-0.4210913177752073,1.864981798232419)
0.004143063358509017,(-0.4208444441115889,1.864965853575843)
0.004151610160484641,(-0.4205973088022322,1.864949901792839)
0.00416018343679876,(-0.420349911286078,1.864933942897616)
0.004168783296905948,(-0.4201022510002456,1.864917976904549)
0.004177409850827034,(-0.4198543273800234,1.864902003828179)
0.004186063209152597,(-0.4196061398588591,1.864886023683212)
